# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
279507.1000 M9127 550456 4 1078.1000 p40 p30 n/a N p40->p76->p91->p27->p7
279556.0000 M8956 826082 1 6341.0000 p12 p67 n/a N p12->p67
280672.0000 M8647 699855 1 16891.0000 p28 p44 n/a N p28->p27
281077.8000 M8926 557006 3 8782.8000 p77 p47 n/a N p77->p90->p89->p51
281234.1000 M8686 960012 3 16260.1000 p59 p44 n/a N p59->p70->p89->p82
281583.6000 M8866 894222 3 11119.6000 p48 p18 n/a N p48->p33->p86->p41
281739.4000 M8891 532705 3 10510.4000 p2 p81 n/a N p2->p4->p93->p86
281755.0000 M9009 926123 1 6927.0000 p31 p67 n/a N p31->p81
281808.6000 M8958 779864 2 8532.6000 p88 p80 n/a N p88->p82->p10
282001.8000 M8860 764239 2 11721.8000 p43 p51 n/a N p43->p93->p74
282001.9000 M9097 652676 1 4491.9000 p36 p45 n/a N p36->p53
282001.9000 M9061 747143 3 5587.9000 p75 p71 n/a N p75->p45->p53->p36
282011.6000 M8803 713845 3 13474.6000 p32 p60 n/a N p32->p31->p79->p14
282056.2000 M8690 961115 5 16961.2000 p33 p37 n/a N p33->p14->p83->p84->p62->p99
282190.5000 M8808 696811 4 13502.5000 p77 p34 n/a N p77->p90->p89->p51->p74
282456.2000 M8848 931848 2 12543.2000 p44 p83 n/a N p44->p51->p60
282456.2000 M8724 613256 2 16330.2000 p44 p20 n/a N p44->p51->p60
282497.7000 M8571 871056 2 21028.7000 p87 p2 n/a N p87->p81->p99
282501.1000 M9036 586381 3 6848.1000 p48 p66 n/a N p48->p82->p10->p6
282501.1000 M9058 997552 4 6178.1000 p42 p22 n/a N p42->p90->p82->p10->p6
282501.1000 M8543 519010 2 21892.1000 p5 p0 n/a N p5->p10->p6
282501.1000 M8836 931903 3 12956.1000 p22 p69 n/a N p22->p26->p6->p10
282527.5000 M8820 827791 2 13472.5000 p44 p90 n/a N p44->p50->p15
282572.5000 M8717 887124 4 16657.5000 p39 p79 n/a N p39->p40->p26->p21->p43
282698.9000 M9167 728110 2 3048.9000 p71 p89 n/a N p71->p63->p39
282818.8000 M9094 771450 1 5400.8000 p29 p31 n/a N p29->p78
282896.1000 M9037 834193 3 7213.1000 p13 p39 n/a N p13->p60->p51->p92
282968.1000 M8610 885731 3 20315.1000 p54 p62 n/a N p54->p92->p93->p60
283095.7000 M8524 965196 2 23066.7000 p50 p24 n/a N p50->p5->p97
283172.4000 M9009 926123 2 8344.4000 p31 p67 n/a N p31->p81->p36
