# time  created  delivered  delivered/created
8031.0000 263 24 0.0913
8062.0000 264 24 0.0909
8092.0000 265 24 0.0906
8123.0000 266 24 0.0902
8154.0000 267 24 0.0899
8185.0000 268 24 0.0896
8216.0000 269 24 0.0892
8237.3000 269 25 0.0929
8247.0000 270 25 0.0926
8278.0000 271 25 0.0923
8308.0000 272 25 0.0919
8339.0000 273 25 0.0916
8370.0000 274 25 0.0912
8401.0000 275 25 0.0909
8431.0000 276 25 0.0906
8461.0000 277 25 0.0903
8491.0000 278 25 0.0899
8521.0000 279 25 0.0896
8552.0000 280 25 0.0893
8580.1000 280 26 0.0929
8583.0000 281 26 0.0925
8613.0000 282 26 0.0922
8644.0000 283 26 0.0919
8675.0000 284 26 0.0915
8706.0000 285 26 0.0912
8737.0000 286 26 0.0909
8768.0000 287 26 0.0906
8799.0000 288 26 0.0903
8830.0000 289 26 0.0900
8860.0000 290 26 0.0897
8890.0000 291 26 0.0893
8916.6000 291 27 0.0928
8920.0000 292 27 0.0925
8920.6000 292 28 0.0959
8951.0000 293 28 0.0956
8981.0000 294 28 0.0952
9011.0000 295 28 0.0949
9042.0000 296 28 0.0946
9072.0000 297 28 0.0943
9103.0000 298 28 0.0940
9133.0000 299 28 0.0936
9164.0000 300 28 0.0933
9194.0000 301 28 0.0930
9224.0000 302 28 0.0927
9255.0000 303 28 0.0924
9285.0000 304 28 0.0921
9316.0000 305 28 0.0918
9346.0000 306 28 0.0915
9377.0000 307 28 0.0912
9407.0000 308 28 0.0909
9438.0000 309 28 0.0906
9468.0000 310 28 0.0903
9499.0000 311 28 0.0900
9529.0000 312 28 0.0897
9560.0000 313 28 0.0895
9577.4000 313 29 0.0927
9591.0000 314 29 0.0924
9621.0000 315 29 0.0921
9652.0000 316 29 0.0918
9682.0000 317 29 0.0915
9713.0000 318 29 0.0912
9743.0000 319 29 0.0909
9774.0000 320 29 0.0906
9804.0000 321 29 0.0903
9835.0000 322 29 0.0901
9866.0000 323 29 0.0898
9897.0000 324 29 0.0895
9928.0000 325 29 0.0892
9959.0000 326 29 0.0890
9990.0000 327 29 0.0887
10001.7000 327 30 0.0917
10020.0000 328 30 0.0915
10050.0000 329 30 0.0912
10081.0000 330 30 0.0909
10111.0000 331 30 0.0906
10141.0000 332 30 0.0904
10171.0000 333 30 0.0901
10201.0000 334 30 0.0898
10232.0000 335 30 0.0896
10262.0000 336 30 0.0893
10293.0000 337 30 0.0890
10324.0000 338 30 0.0888
10354.0000 339 30 0.0885
10384.0000 340 30 0.0882
10415.0000 341 30 0.0880
10446.0000 342 30 0.0877
10476.0000 343 30 0.0875
10506.0000 344 30 0.0872
10537.0000 345 30 0.0870
10567.0000 346 30 0.0867
10597.0000 347 30 0.0865
10628.0000 348 30 0.0862
10658.0000 349 30 0.0860
10688.0000 350 30 0.0857
10702.0000 350 31 0.0886
10704.6000 350 32 0.0914
10719.0000 351 32 0.0912
10750.0000 352 32 0.0909
10781.0000 353 32 0.0907
10808.1000 353 33 0.0935
10812.0000 354 33 0.0932
10839.4000 354 34 0.0960
10843.0000 355 34 0.0958
10873.0000 356 34 0.0955
10904.0000 357 34 0.0952
10935.0000 358 34 0.0950
10965.0000 359 34 0.0947
10995.0000 360 34 0.0944
11026.0000 361 34 0.0942
11056.0000 362 34 0.0939
11086.0000 363 34 0.0937
11117.0000 364 34 0.0934
11148.0000 365 34 0.0932
11179.0000 366 34 0.0929
11210.0000 367 34 0.0926
11230.3000 367 35 0.0954
11241.0000 368 35 0.0951
11271.0000 369 35 0.0949
11302.0000 370 35 0.0946
11332.0000 371 35 0.0943
11363.0000 372 35 0.0941
11393.0000 373 35 0.0938
11423.0000 374 35 0.0936
11453.0000 375 35 0.0933
11484.0000 376 35 0.0931
11514.0000 377 35 0.0928
11544.0000 378 35 0.0926
11566.7000 378 36 0.0952
11575.0000 379 36 0.0950
11606.0000 380 36 0.0947
